Posting No.,Document No.,Posting Date,Customer No.,Customer Name,Ship-to Name,Division Code,No.,Description,Packing Size,Qty. per Unit of Measure,UOM,Quantity,Quantity (Base)
FSD2INV-220501178,FSD2SO-063282,5/24/2022,C-2112073,Shabestan Pte Ltd - Pitatree Marina One,Pita Tree Marina One,FSD2,YOWESCK425GM,YOWE SWEET CORN KERNEL,24 X 425GM,24,CTN,1,24
FSD2INV-220501178,FSD2SO-063282,5/24/2022,C-2112073,Shabestan Pte Ltd - Pitatree Marina One,Pita Tree Marina One,FSD2,ZZHZTSAC12GMC,HEINZ TOMATO KETCHUP SACHET,1000'S X 9GM,1,CTN,1,1
FSD2INV-220501178,FSD2SO-063282,5/24/2022,C-2112073,Shabestan Pte Ltd - Pitatree Marina One,Pita Tree Marina One,FSD2,ZZNFSW,STEEL WOOL,per pc,1,PCS,10,10
FSD2INV-220501168,FSD2SO-063285,5/24/2022,C-004707,FUNLAB SINGAPORE HOLDINGS PTE LTD,HOLEY MOLEY GOLF CLUB,FSD2,ZZSPB1KG,TUNGSAN SATAY PASTE FOR BEE HOON,1KG / PKT,1,PKT,1,1
FSD2INV-220501168,FSD2SO-063285,5/24/2022,C-004707,FUNLAB SINGAPORE HOLDINGS PTE LTD,HOLEY MOLEY GOLF CLUB,FSD2,MNCDS750ML,MAE PRANOM DIPPING SAUCE FOR CHICKEN,12 X 980GM,1,BTL,4,4
FSD2INV-220501179,FSD2SO-063287,5/24/2022,C-001818,FRESCA CONCEPTS PTE LTD,OMNIVORE - CHANGE ALLEY MALL,FSD2,YWNFKT6ROLL,"YOWELL 9"" KITCHEN TOWEL (6 roll / pkt)",4 X (6 RLS X 60'S),1,PKT,1,1
FSD2INV-220501179,FSD2SO-063287,5/24/2022,C-001818,FRESCA CONCEPTS PTE LTD,OMNIVORE - CHANGE ALLEY MALL,FSD2,ZZNFBL3400ML,YOWELL BLEACH,4 X 3.8LTR,1,TUB,1,1
FSD2INV-220501165,FSD2SO-063289,5/24/2022,C-004707,FUNLAB SINGAPORE HOLDINGS PTE LTD,HOLEY MOLEY GOLF CLUB,FSD2,ZZSISRFS1KG,YOWE REFINED SUGAR,25 x 1KG,1,PKT,4,4
FSD2INV-220501165,FSD2SO-063289,5/24/2022,C-004707,FUNLAB SINGAPORE HOLDINGS PTE LTD,HOLEY MOLEY GOLF CLUB,FSD2,ZZMLCLM340GM,MILI CHICKEN LUNCHEON MEAT ,24 X 340GM,1,TIN,6,6
FSD2INV-220501176,FSD2SO-063290,5/24/2022,C-004707,FUNLAB SINGAPORE HOLDINGS PTE LTD,HOLEY MOLEY GOLF CLUB,FSD2,ZZNFNBGPFL,YOWELL / ZZ BLUE NITRILE GLOVE - POWDER FREE 'L',10 X 100'S,1,BOX,2,2
FSD2INV-220501176,FSD2SO-063290,5/24/2022,C-004707,FUNLAB SINGAPORE HOLDINGS PTE LTD,HOLEY MOLEY GOLF CLUB,FSD2,ZZLCJ1LTR,SANTISUK LIME COOKING JUICE ,6 X 1 LTR,1,PKT,2,2
FSD2INV-220501166,FSD2SO-063293,5/25/2022,C-2106032,SPACE BQ PTE LTD,SPACE BQ PTE LTD,FSD2,ZZPBF1KG,PRIMA BREAD FLOUR,20 X 1 KG,1,PKT,10,10
FSD2INV-220501172,FSD2SO-063294,5/24/2022,C-004707,FUNLAB SINGAPORE HOLDINGS PTE LTD,HOLEY MOLEY GOLF CLUB,FSD2,ZZNFPB8X12IN,"HDPE TRANSPARENT PLASTIC BAGS - 8"" X 12""",40Pkt x 260s,1,PKT,6,6
FSD2INV-220501173,FSD2SO-063295,5/24/2022,C-004707,FUNLAB SINGAPORE HOLDINGS PTE LTD,HOLEY MOLEY GOLF CLUB,FSD2,ZZNFBS8IN,"8"" BAMBOO STICK / SATAY STICK",125 X 200GM,1,PKT,10,10
FSD2INV-220501175,FSD2SO-063297,5/24/2022,C-000919,GRAND APPETITE PARTNERS PTE LTD - SUNTEC,MORGANFIELDS SINGAPORE - SUNTEC,FSD2,ZZVBS1KG,VHP BROWN SUGAR - SUPERIOR (UPDATE PRICE $3.20/PKT),25 x 1KG,1,PKT,10,10
FSD2INV-220501186,FSD2SO-063298,5/24/2022,C-2203020,Juster Western ,Juster Western ,FSD2,ZZBFTARS3LTR,BEST FOOD TARTAR SAUCE,4 X 3LTR,1,TUB,1,1
FSD2INV-220501179,FSD2SO-063287,5/24/2022,C-001818,FRESCA CONCEPTS PTE LTD,OMNIVORE - CHANGE ALLEY MALL,FSD2,DZRPNWOS1KG,YOWE RAW PEANUT PEELED (without skin),20 x 1KG,1,PKT,3,3
FSD2INV-220501179,FSD2SO-063287,5/24/2022,C-001818,FRESCA CONCEPTS PTE LTD,OMNIVORE - CHANGE ALLEY MALL,FSD2,ZZLCJ1LTR,SANTISUK LIME COOKING JUICE ,6 X 1 LTR,1,PKT,2,2
FSD2INV-220501179,FSD2SO-063287,5/24/2022,C-001818,FRESCA CONCEPTS PTE LTD,OMNIVORE - CHANGE ALLEY MALL,FSD2,ZZBR5KG,"BASMATI RICE ""MALIKA"" ""PKT"" ",4 x 5KG,1,BAG,2,2
FSD2INV-220501166,FSD2SO-063293,5/25/2022,C-2106032,SPACE BQ PTE LTD,SPACE BQ PTE LTD,FSD2,ZZKNPRTS2KG,KNORR PRONTO TOMATO SAUCE ,6 X 2KG,1,TUB,2,2
FSD2INV-220501166,FSD2SO-063293,5/25/2022,C-2106032,SPACE BQ PTE LTD,SPACE BQ PTE LTD,FSD2,DZSPP1KG,SAPORITO SWEET PAPRIKA 120 ASTA POWDER,12 X 1KG,1,PKT,1,1
FSD2INV-220501166,FSD2SO-063293,5/25/2022,C-2106032,SPACE BQ PTE LTD,SPACE BQ PTE LTD,FSD2,TPFS700ML,TIPAROS FISH SAUCE,12 X 700ML,1,BTL,3,3
FSD2INV-220501166,FSD2SO-063293,5/25/2022,C-2106032,SPACE BQ PTE LTD,SPACE BQ PTE LTD,FSD2,ZZPSF1KG,YOWE POTATO STARCH FLOUR,20 x 1KG,1,PKT,3,3
FSD2INV-220501186,FSD2SO-063298,5/24/2022,C-2203020,Juster Western ,Juster Western ,FSD2,ZZBFCLD3LTR,BEST FOOD COLESLAW DRESSING,4 X 3LTR,1,TUB,4,4
FSD2INV-220501186,FSD2SO-063298,5/24/2022,C-2203020,Juster Western ,Juster Western ,FSD2,ZZKNCGM1KG,KNORR CHICKEN GRAVY MIX,6 X 1KG,1,TUB,1,1
FSD2INV-220501182,FSD2SO-063299,5/24/2022,C-004696,JIA BIN (KLANG) BAK KUT TEH,JIA BIN (KLANG) BAK KUT TEH,FSD2,ZZGT330ML,POKKA CANNED DRINK - JASMINE GREEN TEA,24 X 300ML,1,CTN,1,1
