Bin.,No.,Description,Packing Size,UOM
10-LQ1,ZZLKVOS510ML,LKK VEGETARIAN OYSTER SAUCE,12 X 510ML,BTL
10-LQ1,ZZLKKVOS770GM,LKK VEGETARIAN OYSTER SAUCE VALUE PACK,12 X 770GM,BTL
10-LQ2,ZZLKFDSS500ML,LKK FIRST DRAW SOY SAUCE,12 X 500ML,BTL
10-LQ2,ZZLKOS510GM,LKK OYSTER SAUCE WITH DRIED SCALLOP,12 X 510GM,BTL
10-LQ2,ZZSNS230ML,LKK SWEET & SOUR SAUCE,12 X 240GM,BTL
10-LQ2,ZZLKKXOS220GM,LKK XO SAUCE,12 X 220GM,BTL
11-LA1,TPFS700ML,TIPAROS FISH SAUCE,12 X 700ML,BTL
11-LA1,YWDSS640ML,YOWE DARK SOYA SAUCE,12 X 640ML,BTL
11-LA2,TPFS300ML,TIPAROS FISH SAUCE,24 X 300ML,BTL
11-LA2,YWLSS640ML,YOWE LIGHT SOYA SAUCE,12 X 640ML,BTL
11-LC1,MPSWCDS350GM,YOWE SWEET CHILLI SAUCE FOR DIPPING,12 X 300ML,BTL
11-LC1,WPSWCDS920GM,YOWE SWEET CHILLI SAUCE FOR DIPPING,12 X 700ML,BTL
11-LC2,SAPPSBS400GM,"SAPORITO PASTA SAUCE - BOLOGNESE ""meat free""",6 X 400GM,BTL
11-LC2,SAPPSM400GM,SAPORITO PASTA SAUCE - MUSHROOM,6 X 400GM,BTL
11-LD1,SPCS340GM,SAPORITO CHILLI SAUCE,24 X 320gm,BTL
11-LD1,SPTK340GM,SAPORITO TOMATO KETCHUP,24 X 320gm,BTL
11-LD2,SAPPSMS400GM,SAPORITO PASTA SAUCE - MARINARA,6 X 400GM,BTL
11-LD2,SAPPST400GM,SAPORITO PASTA SAUCE - TRADITIONAL,6 X 400GM,BTL
11-LE1,MNCDS750ML,MAE PRANOM DIPPING SAUCE FOR CHICKEN,12 X 980GM,BTL
11-LE1,ZZMPDS5KG,MAE PRANOM DIPPING SAUCE FOR CHICKEN,3 x 5LTR,TUB
11-LE2,YWSATS300GM,YOWE SATAY SAUCE,24 X 300GM,BTL
11-LE2,YOWESNS260GM,YOWE SWEET N SOUR SAUCE,12 X 260GM,BTL
11-LF1,MGCGS305GM,"KAMPONG KOH CHILLI GARLIC SAUCE ""KING""",24 X 320GM,BTL
11-LF1,KFFSVL650ML,KINGFISHER FISH SAUCE - VINTAGE LABELLS,12 X 650ML,BTL
11-LF2,YOWEHS260GM,YOWE HOISIN SAUCE,12 X 260GM,BTL
11-LF2,YWSO200GM,YOWE SAMBAL OELEK,24 X 200GM,BTL
11-LG1,AGBBQS18OZ,SAPORITO BBQ SAUCE,12 X 500ml,BTL
11-LG1,BSFS700ML,YOWE ANCHOVY FISH SAUCE (IKAN BILIS),12 X 750ML,BTL
11-LG2,ZZLHCS250ML,LINGHAM CHILLI SAUCE,12 X 340GM,BTL
11-LG2,YOWEOS510ML,YOWE OYSTER SAUCE,12 X 510GM,BTL
11-LH1,ZZABCKM625GM,"ABC KICAP MANIS GLASS ""BTL""",12 X 620ML,BTL
11-LH1,ZZABCSACS340ML,ABC SAMBAL ASLI CHILLI SAUCE,24 X 335ML,BTL
11-LH2,ZZLHCEH280ML,LINGHAM EXTRA HOT CHILLI SAUCE,24 X 280ML,BTL
11-LH2,ZZLHGCS340GM,LINGHAM GARLIC CHILLI SAUCE,12 X 340GM,BTL
11-LH2,ZZLHGSR280GM,"LINGHAMS CHILLI SAUCE - SRIRACHA ""100599421""",24 X 280ML,BTL
11-LH2,ZZTSRS580GM,"THAI HOT CHILLI SAUCE ""SRIRAJA PANICH""",12 X 570GM,BTL
11-LJ1,ZZHZCS310ML,HEINZ CHILLI SAUCE,24 X 310GM,BTL
11-LJ1,ZZHZTK300ML,HEINZ TOMATO KETCHUP,24 X 300GM,BTL
11-LJ2,ZZHZCSAC12GMC,HEINZ CHILLI SAUCE SACHET,1000's X 9GM,CTN
11-LJ2,ZZHZTSAC12GMC,HEINZ TOMATO KETCHUP SACHET,1000'S X 9GM,CTN
11-LK1,ZZHHSBBQ1GAL,HEINZ HICKORY SMOKE BBQ SAUCE,4 X 1GAL,TUB
11-LK1,SAPWS10OZ,SAPORITO WORCESTERSHIRE SAUCE,12 X 10OZ,BTL
11-LK2,ZZSRS580GM,"SRIRACHA HOT CHILLI SAUCE ""ROOSTER""",12 X 793G,BTL
11-LK2,ZZSBTS9GM,SWISS BEAR TOMATO KETCHUP SACHET,1000S X 9GM,CTN
11-LL1,ZZHCCP3KG,HEINZ CHILLI CRYOVOC POUCH,6 X 3.23KG,PKT
11-LL1,ZZHTMTPA10,HEINZ TOMATO KETCHUP IN POUCH,6 X 3.23KG,PKT
11-LL2,FHYWM105OZ,FRENCH YELLOW MUSTARD - TUB (OOS),4 X 105OZ,BTL
11-LL2,ZZHZTKUD20OZ,HEINZ TOMATO KETCHUP - Upside Down,12 X 20OZ,BTL
11-LL2,ZZSBCS9GM,SWISS BEAR CHILLI SAUCE SACHET,1000S X 9GM,CTN
