,S/N,DATE,OrderNumber,SKU,PCS,ReferenceID,Location,Alley_Number,Cellule,Coord,AlleyCell,Size
8043,4853,12/1/2018,3753012,364970,1,364970,A0518403,A05,18,"[37.75, 19.5]",A0518,"(240, 300)"
8044,4854,12/1/2018,3753008,258929,1,258929,A0321508,A03,21,"[45.5, 22.5]",A0321,"(240, 260)"
8045,4855,12/1/2018,3753008,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
8046,4856,12/1/2018,3753008,465708,1,465708,A1004502,A10,4,"[20.75, 9.0]",A1004,"(110, 240)"
8047,4857,12/1/2018,3752949,358781,1,358781,A1018202,A10,18,"[20.75, 19.5]",A1018,"(340, 160)"
8048,4858,12/1/2018,3752949,440473,1,440473,A1008203,A10,8,"[20.75, 12.0]",A1008,"(90, 340)"
8049,4859,12/1/2018,3752949,440474,3,440474,A1008301,A10,8,"[20.75, 12.0]",A1008,"(330, 200)"
8050,4860,12/1/2018,3752930,371960,1,371960,A0310504,A03,10,"[44.25, 13.5]",A0310,"(190, 120)"
8051,4861,12/2/2018,3754451,425499,1,425499,A0306502,A03,6,"[44.25, 10.5]",A0306,"(410, 280)"
8052,4862,12/2/2018,3754422,292714,1,292714,A0410402,A04,10,"[41.0, 13.5]",A0410,"(240, 200)"
8053,4863,12/2/2018,3754416,425631,1,425631,A0609304,A06,9,"[35.75, 13.5]",A0609,"(380, 140)"
8054,4864,12/2/2018,3754405,363651,1,363651,A0404202,A04,4,"[41.0, 9.0]",A0404,"(290, 40)"
8055,4865,12/2/2018,3754392,392320,1,392320,A0308307,A03,8,"[44.25, 12.0]",A0308,"(210, 380)"
8056,4866,12/2/2018,3754392,399073,1,399073,A0407302,A04,7,"[42.25, 12.0]",A0407,"(210, 60)"
8057,4867,12/2/2018,3754385,388043,1,388043,A0909402,A09,9,"[26, 13.5]",A0909,"(410, 20)"
