,S/N,DATE,OrderNumber,SKU,PCS,ReferenceID,Location,Alley_Number,Cellule,Coord,AlleyCell,Size
7735,4545,12/16/2018,3813573,453963,1,453963,A1120101,A11,20,"[15.25, 21.0]",A1120,"(370, 280)"
7736,4546,12/16/2018,3813573,453965,1,453965,A1019401,A10,19,"[22.75, 21.0]",A1019,"(80, 60)"
7737,4547,12/16/2018,3813518,342555,1,342555,A0208201,A02,8,"[47.5, 12.0]",A0208,"(90, 340)"
7738,4548,12/16/2018,3813518,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
7739,4549,12/16/2018,3813518,465577,1,465577,A1004103,A10,4,"[20.75, 9.0]",A1004,"(100, 320)"
7740,4550,12/16/2018,3812984,442023,1,442023,A0702503,A07,2,"[31.25, 6.0]",A0702,"(240, 140)"
7741,4551,12/16/2018,3815480,308581,1,308581,A0816404,A08,16,"[28.0, 18.0]",A0816,"(260, 80)"
7742,4552,12/16/2018,3815480,325908,1,325908,A0222402,A02,22,"[47.5, 22.5]",A0222,"(190, 180)"
7743,4553,12/16/2018,3815480,363290,1,363290,A0206403,A02,6,"[47.5, 10.5]",A0206,"(270, 360)"
7744,4554,12/16/2018,3815480,465577,1,465577,A1004103,A10,4,"[20.75, 9.0]",A1004,"(100, 320)"
7745,4555,12/16/2018,3815423,295842,1,295842,A0206505,A02,6,"[47.5, 10.5]",A0206,"(70, 240)"
7746,4556,12/16/2018,3815433,372093,1,372093,A1001201,A10,1,"[22.75, 6.0]",A1001,"(340, 300)"
