,S/N,DATE,OrderNumber,SKU,PCS,ReferenceID,Location,Alley_Number,Cellule,Coord,AlleyCell,Size
4666,4667,12/12/2018,3783986,295636,1,295636,A0810403,A08,10,"[28.0, 13.5]",A0810,"(180, 140)"
4667,4667,12/12/2018,3783986,388058,2,388058,A0804501,A08,4,"[28.0, 9.0]",A0804,"(430, 160)"
4668,4669,12/12/2018,3783986,331626,1,331626,A1019303,A10,19,"[22.75, 21.0]",A1019,"(210, 340)"
4669,4669,12/12/2018,3783986,299895,1,299895,A0306401,A03,6,"[44.25, 10.5]",A0306,"(390, 120)"
4670,4669,12/12/2018,3783986,442024,2,442024,A0722203,A07,22,"[31.25, 22.5]",A0722,"(310, 300)"
4671,1717,12/12/2018,3783986,391080,2,391080,A1010104,A10,10,"[20.75, 13.5]",A1010,"(320, 260)"
4672,1718,12/12/2018,3783920,152047,1,152047,A0520504,A05,20,"[37.75, 21.0]",A0520,"(390, 20)"
4673,1719,12/12/2018,3783920,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
4674,4675,12/12/2018,3783920,448369,2,448369,A0714404,A07,14,"[31.25, 16.5]",A0714,"(80, 240)"
4675,4675,12/12/2018,3783920,335930,1,335930,A0915404,A09,15,"[26, 18.0]",A0915,"(150, 320)"
4676,4677,12/12/2018,3783920,288155,1,288155,A0612503,A06,12,"[34.5, 15.0]",A0612,"(420, 260)"
4677,4677,12/12/2018,3783920,247559,2,247559,A0105501,A01,5,"[52.0, 10.5]",A0105,"(290, 140)"
4678,4679,12/12/2018,3783920,339212,2,339212,A0612403,A06,12,"[34.5, 15.0]",A0612,"(410, 180)"
4679,4680,12/12/2018,3783920,345644,1,345644,A0213502,A02,13,"[48.75, 16.5]",A0213,"(350, 300)"
4680,4680,12/12/2018,3783920,269805,2,269805,A0518502,A05,18,"[37.75, 19.5]",A0518,"(410, 360)"
4681,4680,12/12/2018,3783920,401693,2,401693,A0406101,A04,6,"[41.0, 10.5]",A0406,"(290, 140)"
4682,4679,12/12/2018,3783920,260503,2,260503,A0515103,A05,15,"[39.0, 18.0]",A0515,"(340, 220)"
4683,4684,12/12/2018,3783920,444077,1,444077,A0502503,A05,2,"[37.75, 6.0]",A0502,"(50, 360)"
4684,4685,12/12/2018,3783920,389081,1,389081,A0311405,A03,11,"[45.5, 15.0]",A0311,"(100, 200)"
4685,4685,12/12/2018,3783920,449048,2,449048,A0714204,A07,14,"[31.25, 16.5]",A0714,"(110, 320)"
4686,4687,12/12/2018,3783920,345522,2,345522,A0321302,A03,21,"[45.5, 22.5]",A0321,"(440, 80)"
4687,4687,12/12/2018,3783920,460231,2,460231,A0919103,A09,19,"[26, 21.0]",A0919,"(340, 140)"
4688,4689,12/12/2018,3783920,285651,2,285651,A0316307,A03,16,"[44.25, 18.0]",A0316,"(240, 80)"
4689,4689,12/12/2018,3783920,442219,2,442219,A0512502,A05,12,"[37.75, 15.0]",A0512,"(240, 300)"
4690,4687,12/12/2018,3783920,402553,2,402553,A1117402,A11,17,"[19.5, 19.5]",A1117,"(390, 280)"
4691,4685,12/12/2018,3783920,344983,1,344983,A0415104,A04,15,"[42.25, 18.0]",A0415,"(190, 220)"
4692,4684,12/12/2018,3783920,426687,2,426687,A0610504,A06,10,"[34.5, 13.5]",A0610,"(360, 320)"
4693,4679,12/12/2018,3783920,408484,2,408484,A0107103,A01,7,"[52.0, 12.0]",A0107,"(290, 320)"
4694,4675,12/12/2018,3783920,437821,2,437821,A0617503,A06,17,"[35.75, 19.5]",A0617,"(90, 360)"
4695,1720,12/12/2018,3783920,421584,1,421584,A0319105,A03,19,"[45.5, 21.0]",A0319,"(430, 220)"
4696,1721,12/12/2018,3783883,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
4697,1722,12/12/2018,3793700,445070,1,445070,A0921501,A09,21,"[26, 22.5]",A0921,"(200, 260)"
4698,1723,12/12/2018,3793606,454369,1,454369,A0608204,A06,8,"[34.5, 12.0]",A0608,"(360, 120)"
